int	string	string	int	int	int	int	int	int	int	int	int	int	int	int	DTActorSkill[]	DTActorStory[]	DTActorFeature[]	DTActorCharacter[]	int	DTItemNum	DTItemNum[]	DTItemNum	int	int	int	int	int	int	string	string
5012	Chris Bunt	伯恩	2081	1305	1102	1202	1401	1502	1076	10	10	20	0	10	1003:31;1070:101;1029:201	1702:2:1601;1705:3:1601;1704:2:1602	1808:3:1602;1820:2:1602;1803:2:1602;1809:3:1603	1930:3:1603;1934:2:1603;1924:2:1602;1921:2:1601;1920:2:1601;1945:2:1602;1905:2:1601	1901	6:100000	7081:50;6108:50000	6:2000	100	0	250	100	30	100	One of the top method actors of the day, he gets into his role and embodies it until the acting gig is over. Some of his regiments sound dangerous, but we can't argue with the results. He's one of the top actors of his era.	如果说年龄是女人永远的秘密，那么体重就是他永远的秘密。最近他刚刚出了一本新书《我如何在一个月内暴瘦50斤》，刚一上架就被疯狂抢购，各大书店绝赞缺货中…
5013	Ryan Blonde	高登	2082	1305	1102	1201	1401	1502	1077	10	20	10	0	10	1006:31;1076:101;1031:201	1702:2:1601;1703:3:1602;1704:2:1602	1810:3:1601;1804:2:1601;1809:2:1602;1814:2:1601	1932:2:1602;1931:3:1603;1904:2:1602;1917:2:1603;1935:2:1601;1927:3:1603;1902:2:1601	1901	6:100000	7082:50;6102:50000	6:2000	100	0	250	100	30	100	He is somewhere between a gangster and a pretty boy - embodying qualities of both. He can be a total badass but he's also go that misleading innocent quality of a guy who's too pretty to understand real life. With his unique blend or personas, he's made fans all across the world.	一个人很难做到同时被女性和男性喜欢，但是他做到了。借用某直男网友的评论——“真正的男人就该找他这样的男人当男朋友！”等等，好像哪里不对？
5014	Tom Truth	特鲁斯	2083	1305	1102	1201	1402	1501	1036	20	10	10	10	0	1004:31;1066:101;1017:201	1707:2:1603;1701:3:1603;1708:2:1601	1809:3:1601;1801:2:1601;1816:2:1602;1808:2:1603	1901:2:1601;1907:3:1601;1926:2:1601;1937:3:1602;1934:2:1602;1905:2:1603;1922:2:1603	1901	6:100000	7083:50;6102:50000	6:2000	100	0	250	100	30	100	Known for his ability and guts to do his own stunts - he climbs towers, jumps out of planes and will run into a gun fight outnumbered 10 to 1. This modern renaissance man is not afraid to put his heart and body out on the line.	危险运动爱好者，没事就喜欢爬大楼，扒飞机，下古墓…所谓上知天文能捡瓦，下通地理能挖沟的新世纪复合型人才说的就是他。
5015	Stella Mone	斯黛拉	2084	1305	1101	1201	1402	1501	1038	10	20	10	10	0	1001:31;1013:101;1018:201	1703:2:1603;1702:2:1602;1704:2:1601	1801:2:1601;1804:3:1601;1811:3:1602;1810:2:1601	1902:3:1601;1908:2:1602;1935:2:1603;1931:2:1602;1942:2:1602;1903:3:1602;1904:2:1602	1901	6:100000	7084:50;6102:50000	6:2000	100	0	250	100	30	100	Often seen as the sweet girl next door. The desire of every young man's heart. She rose from a youth movie actress to one on the big stage within a few quick years, starring next to some of the biggest names in the industry.	邻家少女范，甜美可人，大概是每个男孩子心中的初恋女友款。最近因为工作来到东北出差，遇到了一个烦恼——总觉得满大街的人都在叫她的名字。
5016	Wilma Eason	艾莉森	2085	1305	1101	1202	1401	1501	1039	10	10	20	10	0	1002:31;1074:101;1049:201	1706:2:1603;1709:2:1603;1704:2:1601	1802:2:1601;1804:2:1602;1811:3:1601;1812:2:1601	1927:2:1602;1935:2:1602;1913:2:1601;1922:3:1601;1903:3:1601;1944:2:1601;1902:3:1602	1901	6:100000	7085:50;6108:50000	6:2000	100	0	250	100	30	100	Young, smart, beautiful and unwilling to give up her values. She not only built a name for herself for breakout acting in her first every movie series but also through her championing of rights for everyone especially women.	传说中别人家的孩子，学习满分，聪颖过人，并且九门功课同步学还能保持永远精力充沛。甚至有传闻说她曾经同时出现在两门不同的课堂上…嗯，我们相信这一定是在课堂上打瞌睡的同学产生的幻想，一定是。
5017	William Smithers	威利	2086	1305	1102	1201	1401	1502	1033	10	20	10	10	0	1004:31;1067:101;1041:201	1710:2:1601;1701:3:1603;1708:2:1601	1807:2:1601;1811:3:1601;1814:2:1601;1801:2:1603	1907:2:1601;1917:2:1601;1924:2:1602;1914:2:1602;1934:3:1602;1922:3:1602;1926:2:1602	1901	6:100000	7086:50;6102:50000	6:2000	100	0	250	100	30	100	A man of many skills and talents. He started his career as a rapper  but eventually branching out into singing and major movie acting. His early success paved his road to fame and fortune and has become one of the current day legends of the acting world.	“开局一把枪一条狗，装备全靠捡”的某知名游戏形象代言人，因为这个广告而为路人所知，因此顺理成章的走上了演艺之路。
5018	Ben Flounderhatch	本	2087	1305	1102	1202	1401	1502	1032	20	10	10	0	10	1002:31;1073:101;1029:201	1709:2:1601;1701:2:1602;1703:2:1603	1801:2:1602;1808:3:1601;1820:2:1602;1815:3:1601	1922:2:1603;1910:2:1601;1909:3:1602;1913:2:1601;1934:3:1603;1946:2:1603;1930:2:1603	1901	6:100000	7087:50;6108:50000	6:2000	100	0	250	100	30	100	A talent scout went to eat a local restaurant in Bristol. He asked the waiter what was available. The waiter replied telling him the entire menu in one breath. Amazed, the talent scout decided that this man had what it took to become an actor. The waiter quit his job and became one of the best monologue actors there is.	他被星探发掘纯属偶然，一次星探在一个小餐馆吃饭，让服务员报一下菜名，没想到眼前的服务员一口气报完了整本菜单还不带喘气儿，让星探惊为天人，就此出道。
5019	Annie Hat	艾丽娅	2088	1305	1101	1201	1402	1501	1040	10	20	10	0	10	1001:31;1077:101;1031:201	1704:2:1601;1703:2:1603;1707:2:1602	1803:2:1601;1815:3:1602;1804:2:1602;1819:3:1602	1902:3:1602;1903:2:1603;1932:2:1602;1940:3:1603;1904:2:1603;1935:2:1602;1942:2:1602	1901	6:100000	7088:50;6102:50000	6:2000	100	0	250	100	30	100	She had a good start to her career until she had a disagreement with her producers. She lost her job with the movie and was frozen out of all projects for the next year. Now she is starting back up from scratch to rebuild her portfolio and her reputation.	原本年纪轻轻就有着令人艳羡的事业，但一次醉酒后吐槽上司的朋友圈不幸手滑点错了分组，变成了只对上司可见…希望东山再起的她，决定从零开始自己的演艺事业。
5020	Joan Scarson	琼	2089	1305	1101	1201	1402	1501	1041	10	10	20	0	10	1005:31;1080:101;1042:201	1702:3:1602;1710:3:1601;1707:2:1601	1804:2:1601;1808:3:1603;1809:2:1602;1801:2:1603	1926:2:1601;1902:2:1601;1920:2:1603;1922:2:1603;1937:2:1603;1943:3:1603;1904:2:1601	1901	6:100000	7089:50;6102:50000	6:2000	100	0	250	100	30	100	A modern day woman, often judged on her looks more than her actual skills. After her breakout role as a young woman, she has increasingly been taking bigger and bigger roles proving her nay-sayers wrong. She is not just her looks, she is much, much more than that.	经历丰富的年轻女子，少时家境贫困去一位画家家里当女仆结果被女主人误以为偷窃珠宝赶出去之后去东京散心，却在回国时莫名其妙的被卷入了毒品买卖…历经艰辛的她现在只想成为一个安静拍戏的黑寡妇。
5021	Dave Matton	大卫	2090	1305	1102	1201	1401	1501	1043	10	20	10	0	10	1004:31;1073:101;1023:201	1701:2:1601;1707:3:1601;1710:3:1603	1809:2:1601;1818:2:1601;1808:2:1601;1801:3:1602	1901:2:1602;1907:2:1603;1925:2:1601;1926:2:1601;1937:3:1602;1934:2:1602;1922:2:1602	1901	6:100000	7090:50;6102:50000	6:2000	100	0	250	100	30	100	Once just a kid acting in high school theater, he rose to prominence acting with his best friend. Together the conquered every movie they acted in and became superstars. However, now many years later, he was grown into his own individual shoes and blossomed into something of his own making.	曾经是一位普通士兵，出于人道主义关怀被从战场救出之后又参与了太空探索，流落星际被救之后仍然不死心去了火星科考队，结果又要被救援…政府觉得这样下去迟早要被整破产，就给他安排了一份负责某游戏公司的服务器的工作，但不知怎么的，从此这家公司的服务器总散发着一股土豆味…
5022	Greg McEwan	格雷	2091	1305	1102	1202	1402	1501	1048	20	10	10	10	0	1003:31;1068:101;1051:201	1705:2:1601;1709:2:1601;1702:2:1603	1804:2:1602;1816:3:1603;1803:2:1603;1801:2:1603	1911:2:1603;1945:3:1602;1906:2:1602;1922:3:1602;1932:3:1601;1909:2:1602;1902:2:1601	1901	6:100000	7091:50;6108:50000	6:2000	100	0	250	100	30	100	He always knew we wanted to act and went straight to an acting academy to learn more. He had some run-ins with drugs but quickly overcame that urge. He became a world-class musical man and also started acting in big roles for movies.	刚刚步入社会的他深感压力巨大，最喜欢的事就是闲暇时间跑到车站去猜火车到点时间，慢慢的竟然锻炼出了比列车时刻表还精准的直觉，听说最近有不少航空公司想要挖角他以降低误点率…
5023	Liz Tays	丽兹	2092	1305	1101	1201	1401	1502	1049	10	20	10	10	0	1002:31;1079:101;1065:201	1709:2:1603;1708:2:1601;1707:2:1601	1803:2:1603;1804:3:1602;1810:2:1602;1819:2:1603	1904:2:1602;1932:2:1602;1909:3:1603;1935:3:1602;1931:3:1601;1943:2:1601;1927:2:1601	1901	6:100000	7092:50;6102:50000	6:2000	100	0	250	100	30	100	A singer-songwriter who turned to acting to try and solve some of her financial woes. She say a lot of success but her abrupt attitude toward people has made people shy away from her. Now, later in her career, she's thinking about retiring but not before getting one or two more big roles.	带着天生的美貌与智慧，贯彻“我来，我见，我征服”的女王大人。秉承美丽即正义的她厌倦了被动的让其他人决定她的命运，决定来到演艺界开拓新的疆土。
5024	Kylie Knight	奈拉	2093	1305	1101	1202	1401	1501	1059	10	10	20	10	0	1003:31;1071:101;1038:201	1703:2:1601;1709:2:1602;1702:2:1603	1801:3:1602;1805:3:1603;1802:2:1601;1811:2:1603	1918:3:1603;1926:2:1603;1902:2:1601;1909:2:1601;1940:3:1602;1932:2:1603;1935:2:1602	1901	6:100000	7093:50;6108:50000	6:2000	100	0	250	100	30	100	This actress loves dresses and acting in movies with a more olden day environment. Her fans often compare her dress wearing from one movie to another. Why she prefers the more classical environment to modern day? Maybe it's the culture of romance that we've lost. No one really knows.	外表高冷的她每次接戏都会选择极具古典气息，长裙飘飘的角色，也因此被无数影迷评为最适合穿长裙的女性之一，但是在核心粉丝圈内一直有个流言，荧幕上端庄美丽的她，私下其实是一个地下乐队的乐手？记者就此采访某狂热粉丝，以对方非常激动的表示”我的爱豆不可能那么摇滚！“告终。
5025	Clarisse Ems	莉西	2094	1305	1101	1202	1402	1501	1051	10	20	10	10	0	1001:31;1013:101;1035:201	1706:2:1603;1703:2:1601;1709:2:1603	1807:2:1601;1802:2:1602;1803:2:1602;1808:2:1601	1932:2:1601;1909:3:1603;1910:2:1601;1943:3:1601;1931:2:1602;1904:3:1601;1902:3:1603	1901	6:100000	7094:50;6108:50000	6:2000	100	0	250	100	30	100	After seeing a play in theaters, she was inspired to become a chicken farmer. She raised three prized chickens and became a video star sensation. Her fans nicknamed her the Mother of Chicken, Protector of the Brood and Queen of the Henhouse. She rode this fame straight into movie acting and is killing it.	某知名直播平台的著名吃播，由于在某次直播烤鸡蛋时其中一只鸡蛋竟然破壳孵出了一只小鸡，这只小鸡被玩家奉为天选之鸡，而她也从此成为了玩家口中的鸡神守护者，毒圈降生，大草原的伏地女王，打碎平底锅之人，舔盒者，防空洞的传奇。
5026	Connor Matthews	康纳	2095	1305	1102	1201	1401	1502	1069	20	10	10	0	10	1005:31;1079:101;1038:201	1702:2:1601;1710:2:1602;1705:2:1602	1801:2:1603;1806:2:1601;1811:3:1601;1803:3:1602	1922:3:1602;1910:2:1602;1921:2:1602;1945:2:1603;1943:2:1601;1934:2:1601;1939:3:1603	1901	6:100000	7095:50;6102:50000	6:2000	100	0	250	100	30	100	This actor started out as the heartthrob starring in romantic comedies winning the hearts of his female audiences. Then he surprised the world and started taking much more serious and dark roles contrary to what has always been his norm. Even more surprisingly, he excelled at it and has become a high profile method actor.	对于时间非常执着，常挂在口头的话是“一生是有限的，少1秒都是在浪费生命！”不知为何此番言论让他在特定人群中非常受欢迎，他们称自己是真正的粉丝，并且喜欢佩戴黑框眼镜作为标识…
5027	Natie Port	娜拉	2096	1305	1101	1201	1401	1501	1034	10	20	10	0	10	1003:31;1067:101;1046:201	1705:2:1602;1702:2:1602;1704:3:1602	1809:3:1601;1808:2:1602;1801:2:1603;1810:3:1603	1927:2:1602;1904:2:1602;1922:2:1603;1932:3:1602;1944:2:1603;1930:2:1602;1902:2:1603	1901	6:100000	7096:50;6102:50000	6:2000	100	0	250	100	30	100	An intelligent women with a background in the military, she couldn't take the environment anymore and decided to become a dancer. It turns out her dancing wasn't very good and fell during a performance quite a few times but it does turn out that she had a talent for acting. She's been doing that ever since.	高材生，乖乖女，没事还能跳上一段优美的芭蕾舞蹈。但是不管到哪里一定都会随身带着一盆绿色的盆栽，并且极其爱护。据说曾经有人不小心撞倒了盆栽，据撞倒盆栽的当事人事后回忆：“我想不起来发生了什么…我只知道那一瞬间我感到了从所未有的恐惧…”
5028	Bing Fan	武媚	2097	1305	1101	1203	1402	1501	1035	10	10	20	0	10	1005:31;1016:101;1025:201	1709:3:1601;1704:2:1602;1703:3:1601	1804:2:1602;1819:2:1601;1803:2:1602;1815:3:1602	1909:3:1602;1940:2:1603;1932:2:1601;1931:2:1602;1902:2:1602;1904:2:1602;1910:2:1603	1901	6:100000	7097:50;6103:50000	6:2000	100	0	250	100	30	100	She comes from a long line of empresses and emperors but now in modern day, these traditions have been forgotten. She had to find her own path in life and stumbled into acting trying to understand her roots more deeply.	对一个前夫是皇帝，现任是皇帝，大儿子是皇帝，二儿子也是皇帝，孙子还是皇帝，自己本人同样也当过皇帝的人，我们不称之为人生赢家，我们叫她六位帝皇丸…之母。
5029	Jack Ho	房龙	2098	1305	1102	1203	1401	1502	1027	10	20	10	0	10	1004:31;1033:101;1030:201	1705:2:1601;1708:2:1601;1704:2:1602	1809:2:1603;1818:2:1602;1808:2:1601;1810:3:1603	1926:3:1603;1934:2:1602;1948:3:1603;1914:2:1602;1907:2:1602;1903:3:1603;1921:2:1601	1901	6:100000	7098:50;6103:50000	6:2000	100	0	250	100	30	100	A man of a thousand talents and is not afraid to hurt himself for his art. He's broken over 20 bones doing stunts despite the fact he can also sing and act in roles that do not involve martial arts. He has also acted in more movies than any other living actor and doesn't plan on stopping.	“一开始星探找我来拍片，我是拒绝的...“成名之后，每当有人采访他是怎么走上演艺道路时，他都会以此作为开场白，附带一个撩头发动作。不过据说在某次撩完发现手里多了好几根脱落的头发后，他已经不怎么做这个动作了…
5030	Craig Daniels	雷顿	2099	1305	1102	1202	1401	1502	1054	20	10	10	10	0	1005:31;1020:101;1059:201	1702:2:1602;1707:2:1601;1708:3:1603	1804:3:1601;1809:2:1603;1817:2:1603;1801:3:1602	1925:2:1601;1926:2:1603;1905:2:1602;1937:2:1601;1924:3:1602;1907:2:1603;1922:2:1602	1901	6:100000	7099:50;6108:50000	6:2000	100	0	250	100	30	100	A classically trained theater actor with the distinguished look of a lethal gentleman. He can find solutions, get the girl, and even save the world, all while drinking a martini.	永远笑容迷人，风度翩翩，不管穿着西装还是马甲，他都能展现出一幅气定神闲的模样，仿佛下一秒就要对酒保说出那句经典的：“可乐，加冰，不要摇。”
5031	Harry Toms	威尔	2100	1305	1102	1202	1401	1501	1079	10	20	10	0	10	1003:31;1032:101;1031:201	1710:2:1603;1708:2:1603;1705:2:1602	1808:2:1603;1801:2:1602;1807:3:1603;1818:3:1601	1923:3:1602;1907:3:1601;1901:2:1601;1945:2:1601;1930:2:1602;1926:2:1602;1934:2:1603	1901	6:100000	7100:50;6108:50000	6:2000	100	0	250	100	30	100	BAMF. No matter what role he takes on, you can't help but feel that he has what it takes to overcome any obstacle. And no matter his flaws in the methods, you know that there are some redeeming qualities. It's easy to see that the characters he chooses are reflection of himself.	以动作戏出名的他每次拍戏都很拼，哪怕冰天雪地的场景里他也能把自己弄得满头大汗衣衫全湿，所以时至今日江湖上已没有他的真名，大家见到他的第一反应都是：“老湿！“
5032	Teitay Lifte	梅梅	2101	1305	1101	1201	1402	1501	1101	10	10	20	0	10	1004:31;1077:101;1018:201	1703:2:1603;1704:2:1601;1702:3:1601	1804:3:1602;1803:3:1603;1810:2:1602;1807:3:1601	1902:2:1602;1903:2:1601;1904:2:1601;1932:2:1602;1935:2:1602;1922:2:1602;1931:2:1601	1901	6:100000	7101:50;6102:50000	6:2000	100	0	250	100	30	100	A lovely talent from the American south with a wonderful voice and huge star potential. She is fearless and her aspirations go far beyond the strings of a guitar or the stars on the horizon.	明明可以靠脸吃饭却非要靠才华，演戏唱歌两不误的同时桃花也是一直不断，据说每首歌的灵感都来自上一段失败的恋情，到现在已经让人分不清追求她的人到底是真心被吸引还是想体会一下拥有自己的专属歌的感觉…
5033	Rock Jones	石通	2102	1305	1102	1201	1401	1502	1102	20	10	10	0	10	1005:31;1080:101;1042:201	1705:2:1601;1708:2:1601;1710:2:1601	1801:2:1603;1809:2:1601;1818:2:1603;1811:2:1601	1907:3:1602;1901:2:1603;1910:3:1602;1914:3:1603;1926:2:1602;1934:2:1601;1917:3:1603	1901	6:100000	7102:50;6102:50000	6:2000	100	0	250	100	30	100	He was a professional football player and wrestler before venturing into acting. His raw energy and impeccable physique make him perfectly suited for action movies.	第一次见他的人无不被他巨大魁梧的身躯所震撼，这是一个上能徒手爬大楼，下能公路狂飙车，给把加特林就能直接喷蓝火carry全场的男人，行走江湖从无败绩，充分展现什么叫世界级的肌肉选手。
